Sector Name	Gas	Country	Date ?	Emissions	Emissions per capita	Emissions per GDP
1.A.3.b - Road Transportation	CO2	EU-27	1990	"609,259,981"	1.45	74.11
1.A.3.b - Road Transportation	CO2	EU-27	1991	"618,566,173"	1.47	74.19
1.A.3.b - Road Transportation	CO2	EU-27	1992	"640,592,757"	1.52	76.16
1.A.3.b - Road Transportation	CO2	EU-27	1993	"646,129,656"	1.52	77.27
1.A.3.b - Road Transportation	CO2	EU-27	1994	"651,081,678"	1.53	75.87
1.A.3.b - Road Transportation	CO2	EU-27	1995	"662,432,307"	1.56	75.23
1.A.3.b - Road Transportation	CO2	EU-27	1996	"681,298,866"	1.6	75.94
1.A.3.b - Road Transportation	CO2	EU-27	1997	"691,082,356"	1.62	75.04
1.A.3.b - Road Transportation	CO2	EU-27	1998	"718,278,791"	1.68	75.72
1.A.3.b - Road Transportation	CO2	EU-27	1999	"736,008,359"	1.72	75.36
1.A.3.b - Road Transportation	CO2	EU-27	2000	"735,004,990"	1.71	72.44
1.A.3.b - Road Transportation	CO2	EU-27	2001	"750,430,301"	1.75	72.38
1.A.3.b - Road Transportation	CO2	EU-27	2002	"760,782,875"	1.77	72.58
1.A.3.b - Road Transportation	CO2	EU-27	2003	"770,781,493"	1.78	72.87
1.A.3.b - Road Transportation	CO2	EU-27	2004	"787,825,494"	1.82	72.6
1.A.3.b - Road Transportation	CO2	EU-27	2005	"787,213,518"	1.81	71.18
1.A.3.b - Road Transportation	CO2	EU-27	2006	"795,198,732"	1.82	69.47
1.A.3.b - Road Transportation	CO2	EU-27	2007	"804,741,439"	1.84	68.16
1.A.3.b - Road Transportation	CO2	EU-27	2008	"786,482,887"	1.79	66.19
1.A.3.b - Road Transportation	CO2	EU-27	2009	"766,944,748"	1.74	67.48
1.A.3.b - Road Transportation	CO2	EU-27	2010	"763,759,445"	1.73	65.72
1.A.3.b - Road Transportation	CO2	EU-27	2011	"755,620,751"	1.72	63.83
1.A.3.b - Road Transportation	CO2	EU-27	2012	"728,359,608"	1.65	61.98
1.A.3.b - Road Transportation	CO2	EU-27	2013	"725,446,017"	1.64	61.75
1.A.3.b - Road Transportation	CO2	EU-27	2014	"733,853,962"	1.66	61.49
1.A.3.b - Road Transportation	CO2	EU-27	2015	"747,611,965"	1.68	61.22
1.A.3.b - Road Transportation	CO2	EU-27	2016	"764,108,762"	1.72	61.34
1.A.3.b - Road Transportation	CO2	EU-27	2017	"776,316,034"	1.74	60.62
1.A.3.b - Road Transportation	CO2	EU-27	2018	"777,045,498"	1.74	59.42
1.A.3.b - Road Transportation	CO2	EU-27	2019	"783,518,820"	1.75	58.99
