Source Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FUEL COMB. ELEC. UTIL.,121,105,106,112,108,107,157,161,130,621,587,584,506,509,513,516,448,379,309,275,240,205,198,190,182,157,132,107,107,107,107
FUEL COMB. INDUSTRIAL,177,151,159,172,183,203,152,148,147,258,260,267,178,184,189,194,178,162,146,171,197,223,223,224,224,211,198,185,185,185,185
FUEL COMB. OTHER,611,638,662,568,550,589,356,356,354,400,447,449,445,437,429,422,408,394,380,391,403,415,391,367,343,350,357,364,364,364,364
CHEMICAL & ALLIED PRODUCT MFG,47,43,45,41,49,42,39,39,40,45,46,47,30,30,29,29,26,23,20,19,18,17,16,15,14,14,14,15,15,15,15
METALS PROCESSING,157,197,198,125,125,134,101,106,105,115,118,125,54,56,58,60,61,62,63,58,53,48,47,46,44,41,38,35,35,35,35
PETROLEUM & RELATED INDUSTRIES,27,24,24,22,22,22,17,17,17,27,27,28,18,19,20,21,22,22,23,25,27,29,29,29,29,27,25,23,23,23,23
OTHER INDUSTRIAL PROCESSES,284,264,259,260,256,256,180,186,189,245,254,264,354,365,376,387,372,357,341,319,298,277,273,269,265,276,287,297,297,297,297
SOLVENT UTILIZATION,4,4,5,6,6,5,5,5,5,17,17,17,7,7,7,7,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4
STORAGE & TRANSPORT,42,42,50,46,43,42,30,31,31,41,42,44,23,24,24,25,25,24,24,23,22,21,20,18,17,16,15,14,14,14,14
WASTE DISPOSAL & RECYCLING,234,238,239,288,271,247,427,439,459,440,333,334,268,268,267,266,246,226,206,192,178,165,187,208,230,221,212,203,203,203,203
HIGHWAY VEHICLES,323,308,292,276,261,245,229,216,199,184,173,157,330,322,315,308,295,283,253,224,199,198,186,175,163,146,119,114,106,98,90
OFF-HIGHWAY,300,303,305,307,309,311,313,309,304,307,295,290,338,321,304,287,267,247,236,225,213,210,199,187,176,161,139,131,126,120,114
MISCELLANEOUS,"5,233","5,003","4,854","4,926","5,359","4,726","4,721","4,244","4,280","4,511","4,688","4,390","3,256","3,346","3,437","3,069","3,383","3,697","4,011","4,061","4,111","4,288","4,168","4,048","3,689","3,605","3,521","4,189","4,189","4,189","4,189"
Total,"7,560","7,320","7,198","7,149","7,542","6,929","6,724","6,256","6,261","7,211","7,288","6,996","5,805","5,888","5,970","5,592","5,736","5,881","6,014","5,988","5,964","6,100","5,940","5,780","5,381","5,229","5,060","5,681","5,667","5,653","5,640"
Miscellaneous,"5,233","5,003","4,854","4,926","5,359","4,726","4,721","4,244","4,280","4,511","4,688","4,390","3,256","3,346","3,437","3,069","3,383","3,697","4,011","4,061","4,111","4,288","4,168","4,048","3,689","3,605","3,521","4,189","4,189","4,189","4,189"
Total without miscellaneous,"2,327","2,317","2,344","2,223","2,183","2,203","2,003","2,012","1,981","2,700","2,600","2,606","2,549","2,542","2,533","2,523","2,353","2,184","2,003","1,927","1,853","1,812","1,772","1,731","1,691","1,624","1,540","1,492","1,479","1,465","1,451"
Wildfires,,,,,,,,,,,,,"1,131","1,131","1,131",673,673,673,999,999,999,"1,125","1,125","1,125",886,886,886,"1,655","1,655","1,655","1,655"
Total without wildfires,,,,,,,,,,,,,"4,674","4,757","4,838","4,919","5,063","5,208","5,016","4,989","4,965","4,974","4,814","4,654","4,494","4,343","4,174","4,026","4,012","3,998","3,984"
Miscellaneous without wildfires,,,,,,,,,,,,,"2,125","2,215","2,306","2,396","2,710","3,024","3,012","3,062","3,113","3,163","3,043","2,923","2,803","2,719","2,634","2,533","2,533","2,533","2,533"
Particulate Matter 2.5 Micrometers in Diameter and Smaller (PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Emissions Totals (thousands of tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
